Ellen Ochoa ,Mexican-American ,TRUE,First Hispanic American woman astronaut
Olga D. González-Sanabria,Rican ,TRUE,"the highest ranking Hispanic at NASA Glenn Research Center, and a member of the Ohio Women's Hall of Fame."
